"","ID","Timepoint","L2_SE"
"223","User #25299","Timepoint 37",1.50744108426075
"224","User #25299","Timepoint 38",1.57936237249912
"225","User #25299","Timepoint 39",2.74842757426739
"226","User #25299","Timepoint 4",0
"227","User #25299","Timepoint 40",2.08379405648024
"228","User #25299","Timepoint 41",1.85496886297313
"229","User #25299","Timepoint 42",1.50346397613899
"230","User #25299","Timepoint 43",1.49454210782165
"231","User #25299","Timepoint 44",1.87278410582375
"232","User #25299","Timepoint 45",1.41225310013186
"233","User #25299","Timepoint 46",1.47648501907604
"234","User #25299","Timepoint 47",1.92088462999732
"235","User #25299","Timepoint 48",1.68033139785656
"236","User #25299","Timepoint 49",1.46596865902733
"237","User #25299","Timepoint 5",0
"238","User #25299","Timepoint 50",1.58372211631476
"239","User #25299","Timepoint 51",2.29641941506076
"240","User #25299","Timepoint 52",1.79343602694576
"241","User #25299","Timepoint 53",1.42255581037894
"242","User #25299","Timepoint 54",1.39203406914531
"243","User #25299","Timepoint 55",1.50557522006843
"244","User #25299","Timepoint 56",1.88674275967728
"245","User #25299","Timepoint 57",1.42946874333479
"246","User #25299","Timepoint 58",1.56021940623354
"247","User #25299","Timepoint 59",1.61710424237398
"248","User #25299","Timepoint 6",0
"249","User #25299","Timepoint 60",1.93517065307365
"250","User #25299","Timepoint 61",1.38051104551511
"251","User #25299","Timepoint 62",1.36584720893716
"252","User #25299","Timepoint 63",1.43849310572203
"253","User #25299","Timepoint 64",1.74459775135
"254","User #25299","Timepoint 7",0
"255","User #25299","Timepoint 8",0
"256","User #25299","Timepoint 9",0
"257","User #25300","Timepoint 1",0
"258","User #25300","Timepoint 10",0
"259","User #25300","Timepoint 11",0
"260","User #25300","Timepoint 12",0
"261","User #25300","Timepoint 13",0
"262","User #25300","Timepoint 14",0
"263","User #25300","Timepoint 15",0
"264","User #25300","Timepoint 16",0
"265","User #25300","Timepoint 17",1.36461487345172
"266","User #25300","Timepoint 18",1.54498934415834
"267","User #25300","Timepoint 19",1.50872292725399
"268","User #25300","Timepoint 2",0
"269","User #25300","Timepoint 20",1.59153890961364
"270","User #25300","Timepoint 21",1.53775813214249
"271","User #25300","Timepoint 22",1.37198636453539
"272","User #25300","Timepoint 23",1.63150598685205
"273","User #25300","Timepoint 24",1.56851214444063
"274","User #25300","Timepoint 25",1.66818613395006
"275","User #25300","Timepoint 26",1.56145204292257
"276","User #25300","Timepoint 27",1.58503261009148
"277","User #25300","Timepoint 28",1.94293225278236
"278","User #25300","Timepoint 29",1.40506183743677
"279","User #25300","Timepoint 3",0
"280","User #25300","Timepoint 30",1.58131842260713
"281","User #25300","Timepoint 31",2.20669879130308
"282","User #25300","Timepoint 32",1.58754802041778
"283","User #25300","Timepoint 33",1.50313887913896
"284","User #25300","Timepoint 34",1.67569313352229
"285","User #25300","Timepoint 35",1.39732419447987
"286","User #25300","Timepoint 36",1.8853925073095
"287","User #25300","Timepoint 37",2.13798996001991
"288","User #25300","Timepoint 38",1.42742549973589
"289","User #25300","Timepoint 39",2.10957355416203
"290","User #25300","Timepoint 4",0
"291","User #25300","Timepoint 40",1.16151063948561
"292","User #25300","Timepoint 41",1.40946743071965
"293","User #25300","Timepoint 42",1.6598225015662
"294","User #25300","Timepoint 43",1.56296808658388
"295","User #25300","Timepoint 44",1.62584985067602
"296","User #25300","Timepoint 45",1.38386548444258
"297","User #25300","Timepoint 46",1.59242684212142
"298","User #25300","Timepoint 47",1.91269713316205
"299","User #25300","Timepoint 48",1.55251448677337
"300","User #25300","Timepoint 49",2.05667431539408
"301","User #25300","Timepoint 5",0
"302","User #25300","Timepoint 50",1.4152628875822
"303","User #25300","Timepoint 51",1.44251650251835
"304","User #25300","Timepoint 52",1.58795294398143
"305","User #25300","Timepoint 53",1.32565254206306
"306","User #25300","Timepoint 54",1.35059348662493
"307","User #25300","Timepoint 55",1.96223757307892
"308","User #25300","Timepoint 56",1.9859062925332
